spotify_track_id,spotify_title,spotify_artists,spotify_duration_ms,youtube_video_id,youtube_title,youtube_url
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",269666,OPf0YbXqDm0,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,https://www.youtube.com/watch?v=OPf0YbXqDm0
2QpUWi6VSNOt2WyH5FIeLD,Pookie,Aya Nakamura,180840,_bPa-VG0AWo,Aya Nakamura - Pookie (Clip officiel),https://www.youtube.com/watch?v=_bPa-VG0AWo
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,233712,JGwWNGJdvx8,Ed Sheeran - Shape of You (Official Music Video),https://www.youtube.com/watch?v=JGwWNGJdvx8
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,204346,7wtfhZwyrcc,Imagine Dragons - Believer (Official Music Video),https://www.youtube.com/watch?v=7wtfhZwyrcc
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,194087,DyDfgMOUjCI,Billie Eilish - bad guy,https://www.youtube.com/watch?v=DyDfgMOUjCI
3pv7Q5v2dpdefwdWIvE7yH,Shake It Off (Taylor's Version),Taylor Swift,219209,H59xVMF4zxE,Shake It Off (Taylor's Version),https://www.youtube.com/watch?v=H59xVMF4zxE
4cbs7fuf3K06To0WcLiIY6,L'Histoire De La Vie,Debbie Davis,239066,V6HRvViYk8o,"Debbie Davis, Lebo M. - L'histoire de la vie (De ""Le Roi Lion""/Bande Originale Française du Film)",https://www.youtube.com/watch?v=V6HRvViYk8o
4Cip5rpau6JC8OgBIg71jn,Hakuna Matata,"Dimitri Rougeul, Jean-Philippe Puymartin, Michel Elias, Emmanuel Curtil",212000,VJ1wZNnajjQ,Hakuna Matata,https://www.youtube.com/watch?v=VJ1wZNnajjQ
5pqhqSdrxLXDZY9eeCAtSJ,"Libérée, Délivrée - De ""La Reine des Neiges""/Bande Originale Française",Anaïs Delva,224040,vzgInDxzyGU,"Anaïs Delva - Libérée, Délivrée (De ""La Reine des Neiges"")",https://www.youtube.com/watch?v=vzgInDxzyGU
1v5cqJEwR8Nfvrst0qDVjd,Un Poco Loco,"Andrea Santamaria, Damien Ferrette",112213,nDRCOf-o8VY,"Andrea Santamaria, Damien Ferrette - Un Poco Loco (De ""Coco"")",https://www.youtube.com/watch?v=nDRCOf-o8VY
5NxmDq0yXBYGfCbMqvIXuv,UNDEAD,YOASOBI,182702,Jj1_mfUzjOs,YOASOBI「UNDEAD」 Official Music Video／『〈物語〉シリーズ オフ&モンスターシーズン』主題歌,https://www.youtube.com/watch?v=Jj1_mfUzjOs
4gpvY7b9wHA9G1ZsMDu15b,Aishite Aishite Aishite,Ado,258372,U8BlNEKq0r8,Aishite Aishite Aishite,https://www.youtube.com/watch?v=U8BlNEKq0r8
6MCjmGYlw6mQVWRFVgBRvB,夜に駆ける,YOASOBI,258840,by4SYYWlhEs,夜に駆ける,https://www.youtube.com/watch?v=by4SYYWlhEs
61KYsWS25JXUO4fGb1138X,Usseewa,Ado,206893,Qp3b-RXtz4w,【Ado】うっせぇわ,https://www.youtube.com/watch?v=Qp3b-RXtz4w
28Pq4gEOWpCj9jSNwZu95A,プロポーズ,9Lana,234093,XPLkkdMFmco,【MV】プロポーズ/ 9Lana cover,https://www.youtube.com/watch?v=XPLkkdMFmco
2vOAHp8PBBFYqvQUWSoITY,インフェルノ,Mrs. GREEN APPLE,211600,wfCcs0vLysk,Mrs. GREEN APPLE - インフェルノ（Inferno）,https://www.youtube.com/watch?v=wfCcs0vLysk
0T4AitQuq8IJhWBWuZwkFA,群青,YOASOBI,248444,Y4nEEZwckuU,YOASOBI「群青」Official Music Video,https://www.youtube.com/watch?v=Y4nEEZwckuU
3lUOzabhWYyRImRszpJGOU,CHAINSAW BLOOD,Vaundy,200997,FL1QjjkZVm4,CHAINSAW BLOOD / Vaundy：MUSIC VIDEO,https://www.youtube.com/watch?v=FL1QjjkZVm4
1QHm6O6aTot1wjBOHKwkLJ,Undertale - Spider Dance - Shirobon Remix,Shirobon,109243,eqNcbO3imFo,Undertale - Spider Dance (Shirobon Remix),https://www.youtube.com/watch?v=eqNcbO3imFo
5N9wLoOxkCZcNhxRdMG70W,Ashura-chan,Ado,195080,cyq5-StPISU,【Ado】阿修羅ちゃん,https://www.youtube.com/watch?v=cyq5-StPISU
7BDPv8Z4CzJFRnwWmB6C8y,Osmosis,Good Kid,173122,x37jdlGP-ik,Good Kid - Osmosis (Official Audio),https://www.youtube.com/watch?v=x37jdlGP-ik
38kcwx5znepLWCIBID0Bwm,Kyouran Hey Kids!!,THE ORAL CIGARETTES,250973,C-o8pTi6vd8,＜ノラガミARAGOTO＞OPテーマ  THE ORAL CIGARETTES「狂乱 Hey Kids!!」MusicVideo,https://www.youtube.com/watch?v=C-o8pTi6vd8
0kqkXHNgRhwq9Zh3zlDV29,Eurobeat.Exe,Turbo,222000,CaBX5Zb9ShE,EUROBEAT.EXE,https://www.youtube.com/watch?v=CaBX5Zb9ShE
2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,Linkin Park,190427,SRXH9AbT280,The Emptiness Machine (Official Music Video) - Linkin Park,https://www.youtube.com/watch?v=SRXH9AbT280
3yXJjux4ngdBID25f0QIui,Mimi's Delivery Service,Good Kid,178924,hYUvI5Njbbk,Good Kid - Mimi's Delivery Service (Official Video),https://www.youtube.com/watch?v=hYUvI5Njbbk
